a little	văn chương, văn học
bring	mang, cầm , xách lại
broad	rộng
broadcast	tung ra khắp nơi,truyền rộng rãi; phát thanh,quảng bá
brown	nâu, màu nâu
brush	bàn chải; chải, quét
bubble	bong bóng, bọt, tăm
build	xây dựng
bullet	đạn (súng trường, súng lục)
bunch	búi, chùm, bó, cụm, buồng; bầy, đàn
burn	đốt, đốt cháy, thắp, nung, thiêu
bury	chôn cất, mai táng
bush	bụi cây, bụi rậm
business	việc buôn bán, thương mại, kinh doanh
busy	bận, bận rộn
butter	bơ
button	cái nút, cái khuy, cúc
buy	mua
buyer	người mua
by	bởi, bằng
by means of	của cải, tài sản, phương tiện
bye	tam biet
cabinet	tủ có nhiều ngăn đựng đồ
cable	dây cáp
cake	bánh ngọt
calculate	tính toán
calculation	sự tính toán
call	gọi; tiếng kêu, tiếng gọi
calm	yên lặng, làm dịu đi; sự yên lặng, sự êm ả
campaign	chiến dịch, cuộc vận động
can	có thể; nhà tù, nhà giam, bình, ca đựng
cancel	hủy bỏ, xóa bỏ
cancer	bệnh ung thư
candidate	người ứng cử, thí sinh, người dự thi
candy	kẹo
cap	mũ lưỡi trai, mũ vả
capacity	năng lực, khả năng tiếp thu, năng suất
capital	thủ đô, tiền vốn; chủ yếu, chính yếu, cơ bản
captain	người cầm đầu, người chỉ huy, thủ lĩnh
capture	bắt giữ, bắt; sự bắt giữ, sự bị bắt
card	thẻ, thiếp
cardboard	bìa cứng, các tông
care	sự chăm sóc, chăm nom; chăm sóc
career	nghề nghiệp, sự nghiệp
careful	cẩn thận, cẩn trọng, biết giữ gìn
careless	sơ suất, cầu thả
carpet	tấm thảm, thảm (cỏ)
carrot	củ cà rốt
carry	mang, vác, khuân chở
case	vỏ, ngăn, túi
cash	tiền, tiền mặt
cast	quăng, ném, thả, đánh gục; sự quăng, sự ném (lưới), sự thả (neo)
castle	thành trì, thành quách
catch	bắt lấy, nắm lấy, tóm lấy, chộp lấy
category	hạng, loại; phạm trù
cause	nguyên nhân, nguyên do; gây ra, gây nên
cease	dừng, ngừng, ngớt, thôi, hết, tạnh
ceiling	trần nhà
celebrate	kỷ niệm, làm lễ kỷ niệm; tán dương, ca tụng
celebration	sự kỷ niệm, lễ kỷ niệm; sự tán dương, sự ca tụng
cell	ô, ngăn
cent	đồng xu
centimeter	xen ti met
century	thế kỷ
ceremony	nghi thức, nghi lễ
certain	nghi thức, nghi lễ
certificate	giấy chứng nhận, bằng, chứng chỉ
chair	ghế
chairman	chủ tịch, chủ tọa
challenge	sự thử thách, sự thách thức; thách thức, thử thách
chamber	buồng, phòng, buồng ngủ
chance	sự may mắn
change	thay đổi, sự thay đổi, sự biến đổi
channel	kênh (tv, radio), eo biển
chapter	chương (sách)
character	tính cách, đặc tính, nhân vật
charity	lòng từ thiện, lòng nhân đức; sự bố thí
chart	đồ thị, biểu đồ; vẽ đồ thị, lập biểu đồ
chase	săn bắt; sự săn bắt
chat	nói chuyện, tán gẫu; chuyện phiếm, chuyện gẫu
cheap	rẻ
cheat	lừa, lừa đảo; trò lừa đảo, trò gian lận
check	kiểm tra; sự kiểm tra
cheek	má
cheerful	vui mừng, phấn khởi, hồ hởi
cheese	pho mát
chemical	thuộc hóa học; chất hóa học, hóa chất
chemist	nhà hóa học
chemistry	hóa học, môn hóa học, ngành hóa học
cheque	séc
chest	tủ, rương, hòm
chew	nhai, ngẫm nghĩ
chicken	gà, gà con, thịt gà
chief	trọng yếu, chính yếu; thủ lĩnh, lãnh tụ, người đứng đầu, sếp
child	đứa bé, đứa trẻ
chin	cằm
chip	vỏ bào, mảnh vỡ, chỗ sứt, mẻ
choice	sự lựa chọn
choose	chọn, lựa chọn
cigarette	điếu thuốc lá
cinema	rạp chiếu bóng
circle	đường tròn, hình tròn
circumstance	hoàn cảnh, trường hợp, tình huống
citizen	người thành thị
city	thành phố
civil	(thuộc) công dân
claim	đòi hỏi, yêu sách; sự đòi hỏi, sự yêu sách, sự thỉnh cầu
clap	vỗ, vỗ tay; tiếng nổ, tiếng vỗ tay
classic	cổ điển, kinh điển
clean	sạch, sạch sẽ
clear	lau chùi, quét dọn
clerk	thư ký, linh mục, mục sư
client	khách hàng
climate	khí hậu, thời tiết
climb	leo, trèo
clock	đồng hồ
close	gần (mqh), thân thiết,chặt chẽ, đóng, khép, kết thúc
closet	buồng, phòng để đồ, phòng kho
cloth	vải, khăn trải bàn, áo thầy tu
cloud	mây, đám mây
club	câu lạc bộ; gậy, dùi cui
coach	huấn luyện viên
coal	than đá
coast	sự lao dốc; bờ biển
coat	áo choàng
code	mật mã, luật, điều lệ
coin	tiền kim loại
cold	lạnh, sự lạnh lẽo, lạnh nhạt
coldly	lạnh nhạt, hờ hững, vô tâm
collapse	đổ, sụp đổ; sự đổ nát, sự sụp đổ
colleague	bạn đồng nghiệp
collect	sưu tập, tập trung lại
collection	sự sưu tập, sự tụ họp
college	trường cao đẳng
color	màu sắc
column	cột , mục (báo)
combination	sự kết hợp, sự phối hợp
combine	kết hợp, phối hợp
comedy	hài kịch
comfort	sự an ủi, khuyên giải, lời động viên, sự an nhàn
comfortable	thoải mái, tiện nghi, đầy đủ
comfortably	dễ chịu, thoải mái, tiện nghi, ấm cúng
command	ra lệnh, chỉ huy; lệnh, mệnh lệnh, quyền ra lệnh, quyền chỉ huy
comment	lời bình luận, lời chú giải; bình luận, phê bình, chú thích, dẫn giải
commercial	buôn bán, thương mại
commission	hội đồng, ủy ban, sự ủy nhiệm, sự ủy thác,
commit	giao, gửi, ủy nhiệm, ủy thác; tống giam, bỏ tù
commitment	sự phạm tội, sự tận tụy, tận tâm
committee	ủy ban
common	công, công cộng, thông thường, phổ biến
communicate	truyền, truyền đạt; giao thiệp, liên lạc
communication	sự giao tiếp, liên lạc, sự truyền đạt, truyền tin
community	dân chúng, nhân dân
company	công ty
compare	so sánh, đối chiếu
comparison	sự so sánh
compete	đua tranh, ganh đua, cạnh tranh
competition	sự cạnh tranh, cuộc thi, cuộc thi đấu
competitive	cạnh tranh, đua tranh
complain	phàn nàn, kêu ca
complaint	lời than phiền, than thở; sự khiếu nại, đơn kiện
complete	hoàn thành, xong
complex	phức tạp, rắc rối
complicate	làm phức tạp, rắc rối
computer	máy tính
concentrate	tập trung
concept	khái niệm
concern	liên quan, dính líu tới; sự liên quan, sự dính líu tới
concert	buổi hòa nhạc
conclude	kết luận, kết thúc, chấm dứt (công việc)
conclusion	sự kết thúc, sự kết luận, phần kết luận
concrete	sự kết thúc, sự kết luận, phần kết luận
condition	điều kiện, tình cảnh, tình thế
conduct	điều khiển, chỉ đạo, chỉ huy; sự điều khiển, chỉ huy
conference	hội nghị, sự bàn bạc
confidence	lòng tin tưởng, sự tin cậy
confident	tin tưởng, tin cậy, tự tin
confine	giam giữ, hạn chế
confirm	xác nhận, chứng thực
conflict	xung đột, va chạm; sự xung đột, sự va chạm
confront	đối mặt, đối diện, đối chiếu
confuse	làm lộn xộn, xáo trộn
confusion	sự lộn xộn, sự rối loạn
connect	kết nối, nối
connection	sự kết nối, sự giao kết
conscious	tỉnh táo, có ý thức, biết rõ
consequence	kết quả, hậu quả
conservative	thận trọng, dè dặt, bảo thủ
consider	cân nhắc, xem xét; để ý, quan tâm, lưu ý đến
considerable	lớn lao, to tát, đáng kể
considerably	đáng kể, lớn lao, nhiều
consideration	sự cân nhắc, sự xem xét, sự để ý, sự quan tâm
consist	(+of) gồm có
constant	kiên trì, bền lòng
constantly	kiên định
construct	xây dựng
construction	sự xây dựng, công trình
consult	tra cứu, tham khảo, thăm dò, hỏi ý kiến
consumer	người tiêu dùng
contact	sự liên lạc, sự giao thiệp; tiếp xúc
contain	bao hàm, chứa đựng, bao gồm
container	cái đựng, chứa; công te nơ
contemporary	đương thời, đương đại
content	nội dung, sự hài lòng
contest	cuộc thi, trận đấu, cuộc tranh luận, cuộc chiến đấu,chiến tranh
context	văn cảnh, khung cảnh, phạm vi
continent	lục địa, đại lục
continue	tiếp tục, làm tiếp
continuous	liên tục, liên tiếp
contract	hợp đồng, sự ký hợp đồng; ký kết
contrast	sự tương phản; làm tương phản, trái ngược
contribute	đóng góp, góp phần
contribution	sự đóng góp, sự góp phần
control	sự điều khiển, quyền hành, quyền lực, quyền chỉ huy
convenient	tiện lợi, thuận lợi, thích hợp
convention	hội nghị, hiệp định, quy ước
conventional	quy ước
convert	đổi, biến đổi
convince	làm cho tin, thuyết phục; làm cho nhận thức thấy
cook	nấu ăn, người nấu ăn
cookie	bánh quy
cool	mát mẻ, điềm tĩnh; làm mát
cope 	mát mẻ, điềm tĩnh; làm mát
copy	bản sao, bản chép lại; sự sao chép; sao chép, bắt chước
core	nòng cốt, hạt nhân; đáy lòng
corner	góc (tường, nhà, phố...)
correct	đúng, chính xác; sửa, sửa chữa
cost	giá, chi phí; trả giá, phải trả
cottage	nhà tranh
cotton	bông, chỉ, sợi
cough	ho, sự ho, tiếng hoa
council	hội đồng
count	đếm, tính
counter	quầy hàng, quầy thu tiền, máy đếm
country	nước, quốc gia, đất nước
countryside	miền quê, miền nông thôn
county	hạt, tỉnh
couple	đôi, cặp
course	tiến trình, quá trình diễn tiến; sân chạy đua
court	sân, sân (tennis...), tòa án, quan tòa, phiên tòa
cousin	anh em họ
cover	bao bọc, che phủ; vỏ, vỏ bọc
cow	con bò cái
crack	cừ, xuất sắc; làm nứt, làm vỡ, nứt nẻ, rạn nứt
craft	nghề, nghề thủ công
crash	vải thô; sự rơi (máy bay), sự phá sản, sụp đổ; phá tan tành
crazy	điên, mất trí
cream	kem
create	sáng tạo, tạo nên
creature	sinh vật, loài vật
credit	sự tin, lòng tin, danh tiếng; tiền gửi ngân hàng
crime	tội, tội ác, tội phạm
criminal	có tội, phạm tội; kẻ phạm tội, tội phạm
crisis	sự khủng hoảng, cơn khủng hoảng
crisp	giòn
criterion	tiêu chuẩn
critical	phê bình, phê phán; khó tính
criticism	sự phê bình, sự phê phán, lời phê bình, lời phê phán
criticize	phê bình, phê phán, chỉ trích
crop	vụ mùa
cross	cây thánh giá, nỗi thống khổ; sự băng qua; băng qua, vượt qua
crowd	đám đông
crown	vương miện, vua, ngai vàng; đỉnh cao nhất
crucial	quyết định, cốt yếu, chủ yếu
cruel	độc ác, dữ tợn, tàn nhẫn
crush	ép, vắt, đè nát, đè bẹp
cry	khóc, kêu la; sự khóc, tiếng khóc, sự kêu la
culture	văn hóa, sự mở mang, sự giáo dục
cup	tách, chén
cupboard	1 loại tủ có ngăn
curb	kiềm chế, nén lại, hạn chế
cure	chữa trị, điều trị; cách chữa bệnh, cách điều trị; thuốc
curious	ham muốn, tò mò, lạ lùng
curl	quăn, xoắn, uốn quăn, làm xoắn; sự uốn quăn
curly	quăn, xoắn
custom	phong tục, tục lệ, thói quen, tập quán
cut	cắt, chặt; sự cắt
cycle	chu kỳ, chu trình, vòng; quay vòng theo chu kỳ, đi xe đạp
cycling	sự đi xe đạp
daily	hàng ngày
damage	mối hại, điều hại, sự thiệt hại; làm hư hại, làm hỏng
dance	sự nhảy múa, sự khiêu vũ; nhảy múa, khiêu vũ
dancer	diễn viên múa, người nhảy múa
danger	sự nguy hiểm, mối hiểm nghèo; nguy cơ, mối đe dọa
dangerous	nguy hiểm
dare	dám, dám đương đầu với; thách
dark	tối, tối tăm; bóng tối, ám muội
data	số liệu, dữ liệu
date	ngày, kỳ, kỳ hạn, thời kỳ
daughter	con gái
day	ngày, ban ngày
dead	chết, tắt
deaf	điếc, làm thinh, làm ngơ
dear	thân, thân yêu, thân mến; kính thưa, thưa
death	sự chết, cái chết
debt	nợ
decade	thập kỷ, bộ mười, nhóm mười
decay	tình trạng suy tàn, suy sụp, tình trạng đổ nát
december	tình trạng suy tàn, suy sụp, tình trạng đổ nát
decide	quyết định, giải quyết, phân xử
decision	sự quyết định, sự giải quyết, sự phân xử
declare	tuyên bố, công bố
decorate	trang hoàng, trang trí
decoration	sự trang hoàng, đồ trang hoàng, trang trí
decorative	để trang hoàng, để trang trí, để làm cảnh
decrease	giảm bớt, làm suy giảm, sự giảm đi, sự giảm sút
deep	sâu, khó lường, bí ẩn
defeat	đánh bại, sự thất bại
defend	che chở, bảo vệ, bào chữa
define	định nghĩa
definite	xác định, định rõ, rõ ràng
definition	sự định nghĩa, lời định nghĩa
degree	mức độ, trình độ; bằng cấp; độ
delay	sự chậm trễ, sự trì hoãn, sự cản trở; làm chậm trễ
deliberate	thận trọng, có tính toán, chủ tâm, có suy nghĩ cân nhắc
delicate	thanh nhã, thanh tú, tế nhị, khó xử
delight	sự vui thích, sự vui sướng
deliver	cứu khỏi, thoát khỏi, bày tỏ, giãi bày
delivery	sự phân phát, sự phân phối
demand	sự đòi hỏi, sự yêu cầu; đòi hỏi, yêu cầu
demonstrate	chứng minh, giải thích; bày tỏ, biểu lộ
dentist	nha sĩ
deny	từ chối, phản đối, phủ nhận
department	cục, sở, ty, ban, khoa; gian hàng, khu bày hàng
departure	sự rời khỏi, sự đi, sự khởi hành
depend	phụ thuộc, tùy thuộc; dựa vào, ỷ vào, trông mong vào
deposit	vật gửi, tiền gửi, tiền đặt cọc; gửi, đặt cọc
depress	làm chán nản, làm phiền muộn; làm suy giảm
depth	chiều sâu, độ dày
derive	nhận được từ, lấy được từ;
description	sự mô tả, sự tả, sự miêu tả
desert	sa mạc; công 
deserve	đáng, xứng đáng
design	sự thiết kế, kế hoạch, đề cương. phác thảo
desire	ước muốn; thèm muốn, ao ước
desk	bàn (học sinh, viết, làm việc)
destroy	phá, phá hoại, phá huỷ, tiêu diệt, triệt phá
destruction	sự phá hoại, sự phá hủy, sự tiêu diệt
detail	chi tiết
determination	sự xác định, sự định rõ; sự quyết định
determine	xác định, định rõ; quyết định
determined	đã được xác định, đã được xác định rõ
develop	phát triển, mở rộng; trình bày, bày tỏ
development	sự phát triển, sự trình bày, sự bày tỏ
device	kế sách; thiết bị, dụng cụ, máy móc
devote	hiến dâng, dành hết cho
diagram	biểu đồ
diamond	kim cương
diary	sổ nhật ký; lịch ghi nhớ
dictionary	từ điển
die	chết, từ trần, hy sinh
diet	chế độ ăn uống, chế độ ăn kiêng
difference	sự khác nhau
different	khác, khác biệt, khác nhau
difficult	khó, khó khăn, gay go
dig	đào bới, xới
dinner	bữa trưa, chiều
direct	trực tiếp, thẳng, thẳng thắn
direction	sự điều khiển, sự chỉ huy
director	giám đốc, người điều khiển, chỉ huy
dirt	đồ bẩn thỉu, đồ dơ bẩn, vật rác rưởi
disadvantage	sự bất lợi, sự thiệt hại
disagree	bất đồng, không đồng ý, khác, không giống; không hợp
disagreement	sự bất đồng, sự không đồng ý, sự khác nhau
disappear	biến mất, biến đi
disappoint	không làm thỏa ước nguyện,
disappointment	sự chán ngán, sự thất vọng
disapprove	không tán thành, phản đối, chê
disaster	tai họa, thảm họa
discipline	kỷ luật
discount	sự bớt giá, sự chiết khấu, tiền bớt, chiết khấu
discover	khám phá, phát hiện ra, nhận ra
discovery	sự khám phá, sự tìm ra, sự phát hiện ra
discuss	thảo luận, tranh luận
discussion	sự thảo luận, sự tranh luận
disease	căn bệnh, bệnh tật
disgust	làm ghê tởm, làm kinh tởm, làm phẫn nộ
dishonest	bất lương, không thành thật
disk	đĩa, đĩa hát
dislike	sự không ưa, không thích, sự ghét
dismiss	giải tán (quân đội, đám đông); sa thải (người làm)
display	bày tỏ, phô trương, trưng bày; sự bày ra, phô bày,trưng bày
dissolve	tan rã, phân hủy, giải tán
distance	khoảng cách, tầm xa
distinguish	phân biệt, nhận ra, nghe ra
disturb	làm mất yên tĩnh, làm náo động, quấy rầy
divide	chia, chia ra, phân ra
division	sự chia, sự phân chia, sự phân loại
divorce	sự ly dị
doctor	bác sĩ y khoa, tiến sĩ
document	văn kiện, tài liệu, tư liệu
dollar	đô la mỹ
domestic	vật nuôi trong nhà, (thuộc) nội trợ, quốc nội
dominate	chiếm ưu thế, có ảnh hưởng, chi phối; kiềm chế
door	cửa, cửa ra vào
dot	chấm nhỏ, điểm; của hồi môn
double	đôi, hai, kép; cái gấp đôi, lượng gấp đôi; làm gấp đôi
doubt	sự nghi ngờ, sự ngờ vực; nghi ngờ, ngờ vực
down	xuống
downstairs	ở dưới nhà, ở tầng dưới
downward	xuống, đi xuống
downwards	xuống, đi xuống
dozen	xuống, đi xuống
draft	bản phác thảo, sơ đồ thiết kế; phác thảo, thiết kế
drag	lôi kéo, kéo lê
drama	kịch, tuồng
dramatic	như kịch, như đóng kịch, thích hợp với sân khấu
draw	vẽ, kéo
drawer	người vẽ, người kéo
dream	giấc mơ, mơ
dress	váy, quần áo, mặc (quần áo), ăn mặc
drink	đồ uống; uống
drive	lái , đua xe; cuộc đua xe (điều khiển)
driver	người lái xe
drop	chảy nhỏ giọt, rơi, rớt; giọt (nước, máu...)
drug	thuốc, dược phẩm; ma túy
drugstore	hiệu thuốc, cửa hàng dược phẩm
drum	cái trống, tiếng trống
drunk	say rượu
dry	khô, cạn; làm khô, sấy khô
due	đến kỳ hạn (trả nợ); xứng đáng, thích đáng
dull	chậm hiểu, ngu đần
dump	đổ rác; đống rác, nơi đổ rác
during	trong lúc, trong thời gian
dust	bụi, rác; rắc (bụi, phấn), quét bụi, phủi bụi
duty	sự tôn kính, kính trọng; bồn phận, trách nhiệm
each	sự tôn kính, kính trọng; bồn phận, trách nhiệm
each other	sự tôn kính, kính trọng; bồn phận, trách nhiệm
each other	một lần; khi mà, ngay khi, một khi
ear	tai
early	sớm
earn	kiếm (tiền), giành (phần thưởng)
earth	đất, trái đất
ease	sự thanh thản, sự thoải mái; làm thanh thản, làm yên tâm
easily	dễ dàng
east	hướng đông, phía đông, (thuộc) đông, ở phía đông
eastern	đông
easy	dễ dàng, dễ tính, ung dung
eat	ăn
economic	(thuộc) kinh tế
economy	sự tiết kiệm, sự quản lý kinh tế
edge	lưỡi, cạnh sắc (dao)
edition	nhà xuất bản, sự xuất bản
editor	người thu thập và xuất bản, chủ bút
educate	giáo dục, cho ăn học; rèn luyện
educated	được giáo dục, được đào tạo
education	sự giáo dục, sự rèn luyện (kỹ năng)
effect	hiệu ứng, hiệu quả, kết quả
effective	có kết quả, có hiệu lực
effectively	có kết quả, có hiệu lực
efficient	có hiệu lực, có hiệu quả
efficiently	có hiệu quả, hiệu nghiệm
effort	sự cố gắng, sự nỗ lực
egg	trứng
either	mỗi, một; cũng phải thế
elbow	khuỷu tay
elderly	có tuổi, cao tuổi
elect	bầu, quyết định
election	sự bầu cử, cuộc tuyển cử
electric	(thuộc) điện, có điện, phát điện
electrical	(thuộc) điện
electricity	điện, điện lực; điện lực học
electronic	(thuộc) điện tử
elegant	thanh lịch, tao nhã
element	yếu tố, nguyên tố
elevator	máy nâng, thang máy
else	máy nâng, thang máy
